Address,lon,lat,address,
"CVS 180 GREENTREE RD, EVESHAM TOWNSHIP, NJ, 8053",-74.9246777,39.9132656,"180 w greentree rd, marlton, nj 08053, usa",
"CVS 137 ROUTE 70, MEDFORD, NJ, 8055",-74.8451551,39.9012108,"137 nj-70, medford, nj 08055, usa",
"CVS 2920 ROUTE 73 NORTH, MAPLE SHADE, NJ, 8052",-74.9853048,39.9495449,"2920 nj-73 store 1, maple shade, nj 08052, usa",
"CVS 74 SOUTH LAKEVIEW DRIVE, GIBBSBORO, NJ, 8026",-74.9595035,39.8379462,"74 lakeview dr s, gibbsboro, nj 08026, usa",
"CVS 250 Glenwood Avenue, Bloomfield, NJ, 7003",-74.2005873,40.7913923,"250 glenwood ave, bloomfield, nj 07003, usa",
"CVS 250 GLENWOOD AVENUE, BLOOMFIELD, NJ, 7003",-74.2005873,40.7913923,"250 glenwood ave, bloomfield, nj 07003, usa",
"CVS 451 BLOOMFIELD AVENUE, NEWARK, NJ, 7107",-74.1831706,40.7713615,"451-461 bloomfield ave, newark, nj 07107, usa",
"CVS 1646 MAIN AVENUE, CLIFTON, NJ, 7015",-74.1534217,40.8893334,"1646 main ave, clifton, nj 07011, usa",
"CVS 331 BROAD ST, BLOOMFIELD, NJ, 7003",-74.1933981,40.8050993,"331 broad st, bloomfield, nj 07003, usa",
"CVS 601 N DUPONT BLVD, MILFORD, DE, 19963",-75.4429128,38.9166905,"601 n dupont blvd, milford, de 19963, usa",
"CVS 906 WEST LEESPORT ROAD, LEESPORT, PA, 19533",-75.9967175,40.3897762,"906 w leesport rd, leesport, pa 19533, usa",
"CVS 2800 CONRAD WEISER, WOMELSDORF, PA, 19567",-76.1877021,40.3687443,"2800 conrad weiser pkwy, womelsdorf, pa 19567, usa",
"CVS 28 N CLAUDE A LORD BLVD, POTTSVILLE, PA, 17901",-76.1938148,40.6868103,"28 n claude a lord blvd, pottsville, pa 17901, usa",
"CVS 2001 N. 11TH ST., READING, PA, 19605",-75.9148404,40.3656331,"2001 n 11th st, reading, pa 19604, usa",
"CVS 542-546 PENN ST, READING, PA, 19602",-75.9261629,40.3347296,"542 penn st, reading, pa 19602, usa",
"CVS 70 WEST STEUBEN ST, CRAFTON, PA, 15205",-80.0698161,40.4390421,"70 w steuben st, pittsburgh, pa 15205, usa",
"CVS 3422 FORBES AVENUE, PITTSBURGH, PA, 15213",-79.9602316,40.4387605,"3422 forbes ave, pittsburgh, pa 15213, usa",
"CVS 175 WEST BEAU STREET, WASHINGTON, PA, 15301",-80.250183,40.1712801,"175 w beau st, washington, pa 15301, usa",
"CVS 500 BROOKLINE BOULEVARD, PITTSBURGH, PA, 15226",-80.0234938,40.3957037,"500 brookline blvd, pittsburgh, pa 15226, usa",
"CVS 3300 EDGEMONT AVE, BROOKHAVEN, PA, 19015",-75.382601,39.8690362,"3300 edgmont ave, brookhaven, pa 19015, usa",
