,...1,county,trade_name,account,license_type,expiration_date,lat,lon,address_full,publish_date,state,expired_y_n,edit,
62,33130,ALLEGHENY,ROO BAR,65**7908,Cigarette Vending,2/28/25,40.35130377,-79.83056487,"699 ONEIL BLVD MCKEESPORT, PA 15132-1440",12/1/22,PA,ACTIVE,"lat, lon",
63,33356,WASHINGTON,ROYS BY THE TRACK,63**7797,Cigarette Vending,2/28/25,40.2522581,-80.0028009,"3710 STATE ROUTE 88 FINLEYVILLE, PA 15332-1362",12/1/22,PA,ACTIVE,"lat, lon",
64,33462,ALLEGHENY,RULLOS BAR,63**7797,Cigarette Vending,2/29/24,40.43465551,-80.06721165,"65 STATION ST CRAFTON, PA 15205-2848",12/1/22,PA,EXPIRED,"lat, lon",
65,33472,WESTMORELAND,RUMPSHAKERS,65**7908,Cigarette Vending,2/28/23,40.38494947,-79.76045071,"409 Cavitt Ave, Trafford, PA 15085",12/1/22,PA,EXPIRED,"lat, lon, address_full",
66,34732,ALLEGHENY,SETTLE INN,63**7797,Cigarette Vending,2/28/25,40.45150111,-80.20623352,"297 MAHONEY RD CORAOPOLIS, PA 15108-9797",12/1/22,PA,ACTIVE,"lat, lon",
67,36544,BUTLER,SMOKER FRIENDLY,70**8001,Cigarette/OTP Retail,2/28/25,40.72022561,-80.1049009,20880 ROUTE 19 CRANBERRY TWP PA 16066-5902,5/26/21,PA,ACTIVE,"lat, lon",
68,36545,ALLEGHENY,SMOKER FRIENDLY,70**8002,Cigarette/OTP Retail,2/28/25,40.61657721,-79.94657596,"5325 William Flinn Hwy, Gibsonia, PA 15044",5/26/21,PA,ACTIVE,"lat, lon, address_full",
69,36548,CRAWFORD,SMOKER FRIENDLY,70**8006,Cigarette/OTP Retail,2/28/25,41.62540044,-80.18950032,"17342 Conneaut Lake Rd, Meadville, PA 16335",5/26/21,PA,ACTIVE,"lat, lon, address_full",
70,36551,ALLEGHENY,SMOKER FRIENDLY #15,70**8009,Cigarette/OTP Retail,2/28/25,40.63068436,-80.05787675,11969 PERRY HWY WEXFORD PA 15090-8602,5/26/21,PA,ACTIVE,"lat, lon",
71,36599,PIKE,SMOKERS CHOICE,70**8001,Cigarette/OTP Retail,2/28/25,41.35990843,-74.71100134,1 ELIZABETH ST MATAMORAS PA 18336-1704,5/26/21,PA,ACTIVE,"lat, lon",
72,36601,LUZERNE,SMOKERS CHOICE,70**8006,Cigarette/OTP Retail,2/28/25,41.3194419,-75.77706993,323 LAUREL ST PITTSTON PA 18640-3537,5/26/21,PA,ACTIVE,"lat, lon",
